gene_symbol	kegg_pathway_id	kegg_pathway_name	reactome_pathway_id	reactome_pathway_name	tox_evidence	tox_organs	species
A2M	path:hsa04610	path:hsa04610			moderate	liver	human
A2M	path:rno04610	path:rno04610			moderate	liver	rat
A2M			R-SSC-49291	"<span class=""highlighting"" >A2M</span>"	moderate	liver	human
A2M			R-SSC-158255	"<span class=""highlighting"" >A2M</span> tetramer"	moderate	liver	human
A2M			R-RNO-49291	"<span class=""highlighting"" >A2m</span>"	moderate	liver	human
A2M			A8K2U0	A2ML1	moderate	liver	human
A2M			R-HSA-264758	BMP1-3:Zn2+ cleaves pro-APOA1 to APOA1	moderate	liver	human
A2M			R-DRE-49291-4	"Homologues of <span class=""highlighting"" >A2M</span>"	moderate	liver	human
A2M			R-HSA-1454781	MMP1,3,13 (2, 7-12, 19) binding by Alpha-2 macroglubulin	moderate	liver	human
ACOX1	path:hsa00071	path:hsa00071			moderate	liver	human
ACOX1	path:hsa00410	path:hsa00410			moderate	liver	human
ACOX1	path:hsa00592	path:hsa00592			moderate	liver	human
ACOX1	path:hsa00640	path:hsa00640			moderate	liver	human
ACOX1	path:hsa01040	path:hsa01040			moderate	liver	human
ACOX1	path:hsa01100	path:hsa01100			moderate	liver	human
ACOX1	path:hsa01200	path:hsa01200			moderate	liver	human
ACOX1	path:hsa01212	path:hsa01212			moderate	liver	human
ACOX1	path:hsa03320	path:hsa03320			moderate	liver	human
ACOX1	path:hsa04024	path:hsa04024			moderate	liver	human
ACOX1	path:hsa04146	path:hsa04146			moderate	liver	human
ACOX1	path:hsa04936	path:hsa04936			moderate	liver	human
ACOX1	path:rno00071	path:rno00071			moderate	liver	rat
ACOX1	path:rno00410	path:rno00410			moderate	liver	rat
ACOX1	path:rno00592	path:rno00592			moderate	liver	rat
ACOX1	path:rno00640	path:rno00640			moderate	liver	rat
ACOX1	path:rno01040	path:rno01040			moderate	liver	rat
ACOX1	path:rno01100	path:rno01100			moderate	liver	rat
ACOX1	path:rno01200	path:rno01200			moderate	liver	rat
ACOX1	path:rno01212	path:rno01212			moderate	liver	rat
ACOX1	path:rno03320	path:rno03320			moderate	liver	rat
ACOX1	path:rno04024	path:rno04024			moderate	liver	rat
ACOX1	path:rno04146	path:rno04146			moderate	liver	rat
ACOX1	path:rno04936	path:rno04936			moderate	liver	rat
